date,time,customer id,branch,customer name,age,sex,education,course,subject,type,hours,total cost,membership,gift voucher
10/02/2023,5:56 pm,20,Ekkamai,Caroline Turcotte,14,F,GED,1 month pack,Math,onsite,4 pm - 5 pm,8990,Standard,100
23/07/2023,2:15 pm,21,Ladkrabang,Alberta Franecki,15,F,Vocational,1 day miracle,Social Studies,onsite,11 am - 12 pm,490,None,100
19/08/2023,7:12 pm,22,Samyan,Jeannie Kozey,15,F,GED,1 day miracle,Language,online,1 pm - 2 pm,490,Premium,100
14/03/2023,8:28 pm,23,Ekkamai,Gertrude Parisian,18,F,GED,1 week marathon,Social Studies,onsite,1 pm - 2 pm,2990,None,100
15/07/2023,9:26 pm,24,Ekkamai,Tanya Harvey,11,F,Primary,1 day miracle,Science,onsite,5 pm - 6 pm,490,Premium,100
03/04/2023,5:52 pm,25,Ekkamai,Stewart Thiel,8,M,Primary,2 week fornight,Social Studies,onsite,7 pm - 8 pm,5990,Standard,100
07/07/2023,8:34 pm,26,Samyan,Shirley Weissnat,10,F,Primary,2 week fornight,Language,onsite,1 pm - 2 pm,5990,Premium,500
13/04/2023,9:25 pm,27,Samyan,Gloria Collins,7,F,Primary,1 month pack,Social Studies,onsite,8 am - 9 am,8990,Standard,100
12/02/2023,10:19 am,28,Ekkamai,Travis Schuppe,8,M,Primary,2 week fornight,Language,onsite,1 pm - 2 pm,5990,None,500
04/02/2023,9:27 am,29,Bangkrapi,Alicia Langworth Sr.,11,F,Primary,1 month pack,Math,onsite,4 pm - 5 pm,8990,Premium,100
08/01/2023,1:11 pm,30,Ekkamai,Darrin Jacobson,19,M,Bachelor,1 day miracle,Math,onsite,4 pm - 5 pm,490,None,200
03/02/2023,9:59 pm,31,Samyan,Wendell Ebert,20,M,Bachelor,2 week fornight,Language,online,6 pm - 7 pm,5990,Standard,100
02/07/2023,3:42 pm,32,Ladkrabang,Vivian Leannon,8,F,Primary,2 week fornight,Social Studies,online,12 pm - 1 pm,5990,Standard,100
31/01/2023,5:02 pm,33,Ekkamai,Mona Rowe,20,F,Bachelor,1 month pack,Language,onsite,12 pm - 1 pm,8990,None,100
03/09/2023,4:58 pm,34,Samyan,Gustavo Jerde,17,M,GED,1 day miracle,Science,online,4 pm - 5 pm,490,Standard,200
24/04/2023,8:38 pm,35,Bangkrapi,Jeremy Franecki,9,M,Primary,2 week fornight,Language,onsite,8 am - 9 am,5990,Premium,200
29/04/2023,9:19 pm,36,Bangkrapi,Morris Schultz,8,M,Primary,1 week marathon,Social Studies,onsite,1 pm - 2 pm,2990,Premium,100
24/09/2023,12:51 pm,37,Samyan,Darrell Robel,12,M,Primary,2 week fornight,Language,onsite,4 pm - 5 pm,5990,Premium,100
12/08/2023,8:44 pm,38,Bangkrapi,Tomas Friesen,19,M,Bachelor,1 day miracle,Social Studies,online,5 pm - 6 pm,490,Premium,100
08/07/2023,8:01 am,39,Ekkamai,Warren Gulgowski II,11,M,Primary,1 month pack,Science,onsite,5 pm - 6 pm,8990,Standard,100
12/07/2023,12:39 pm,40,Ekkamai,Ollie Terry,12,F,Primary,1 day miracle,Science,online,4 pm - 5 pm,490,None,200
13/08/2023,4:59 pm,41,Ekkamai,Andy Hermann,7,M,Primary,1 month pack,Language,onsite,8 am - 9 am,8990,None,100
20/01/2023,5:11 pm,42,Samyan,Stanley Stark,14,M,Secondary,1 day miracle,Math,online,6 pm - 7 pm,490,None,100
05/02/2023,5:48 pm,43,Ekkamai,Chris Harber,15,M,Vocational,1 month pack,Language,online,3 pm - 4 pm,8990,None,100
21/02/2023,1:28 pm,44,Ekkamai,Paula Glover,20,F,Bachelor,1 month pack,Science,online,9 pm - 10 pm,8990,None,200
14/05/2023,1:20 pm,45,Ladkrabang,Winston Wunsch,11,M,Primary,2 week fornight,Social Studies,onsite,10 am - 11 am,5990,Standard,500
08/08/2023,6:54 pm,46,Ekkamai,Diana Muller,15,F,Secondary,1 week marathon,Social Studies,online,6 pm - 7 pm,2990,Premium,200
04/02/2023,4:13 pm,47,Samyan,Jonathan Orn,11,M,Primary,1 day miracle,Language,onsite,6 pm - 7 pm,490,None,500
30/08/2023,10:09 am,48,Ekkamai,Eula Hudson,19,F,Bachelor,2 week fornight,Science,online,5 pm - 6 pm,5990,None,100
02/03/2023,7:28 pm,49,Samyan,Micheal Rohan,10,M,Primary,1 day miracle,Math,onsite,9 am - 10 am,490,Standard,100
22/02/2023,7:09 pm,50,Ekkamai,Ronnie Corwin,16,M,GED,2 week fornight,Math,online,6 pm - 7 pm,5990,Premium,200
11/07/2023,3:12 pm,51,Ekkamai,Kristin Rath,10,F,Primary,1 day miracle,Language,onsite,2 pm - 3 pm,490,None,200
11/12/2023,9:29 am,52,Ladkrabang,Johnnie Mosciski,9,F,Primary,1 week marathon,Social Studies,onsite,3 pm - 4 pm,2990,Standard,100
08/12/2023,4:46 pm,53,Samyan,Jessica Hartmann,7,F,Primary,1 day miracle,Social Studies,onsite,8 pm - 9 pm,490,Standard,100
09/04/2023,8:23 am,54,Ekkamai,Ken Hintz,7,M,Primary,1 week marathon,Social Studies,online,3 pm - 4 pm,2990,None,1000
16/03/2023,11:06 am,55,Ladkrabang,Mike Tillman,17,M,Vocational,1 week marathon,Math,onsite,11 am - 12 pm,2990,None,200
31/03/2023,10:25 am,56,Samyan,Nathaniel Heidenreich,18,M,Vocational,2 week fornight,Language,online,12 pm - 1 pm,5990,Premium,100
19/09/2023,6:50 pm,57,Ekkamai,Garrett Kirlin,16,M,GED,2 week fornight,Language,onsite,10 am - 11 am,5990,Standard,200
23/11/2023,8:47 pm,58,Ekkamai,Kathleen Smith,14,F,Vocational,1 day miracle,Math,online,8 pm - 9 pm,490,Premium,500
20/10/2023,11:41 am,59,Samyan,Al Fisher,8,M,Primary,1 week marathon,Language,online,8 pm - 9 pm,2990,None,200
15/04/2023,9:17 am,60,Samyan,Teresa Luettgen,20,F,Bachelor,2 week fornight,Social Studies,onsite,6 pm - 7 pm,5990,Standard,200
20/08/2023,1:01 pm,61,Samyan,Miriam Rogahn PhD,9,F,Primary,1 week marathon,Math,online,10 am - 11 am,2990,Premium,100
25/10/2023,8:03 pm,62,Samyan,Eva VonRueden,14,F,Secondary,1 week marathon,Math,online,9 am - 10 am,2990,Standard,100
11/02/2023,12:04 pm,63,Ekkamai,Jan Green,18,F,Secondary,1 day miracle,Language,onsite,7 pm - 8 pm,490,Premium,100
12/10/2023,4:16 pm,64,Samyan,Allen Franecki,13,M,Vocational,1 week marathon,Social Studies,onsite,4 pm - 5 pm,2990,Standard,100
21/11/2023,11:51 am,65,Ekkamai,Manuel Tromp,8,M,Primary,1 week marathon,Language,online,8 am - 9 am,2990,Premium,200
16/10/2023,12:31 pm,66,Samyan,Rosa Carter,13,F,Vocational,1 month pack,Social Studies,onsite,11 am - 12 pm,8990,Premium,200
05/07/2023,12:50 pm,67,Samyan,Paula Torphy,9,F,Primary,1 month pack,Language,online,8 pm - 9 pm,8990,None,100
25/01/2023,1:44 pm,68,Bangkrapi,Tamara Jast,8,F,Primary,1 week marathon,Math,online,10 am - 11 am,2990,Standard,200
14/05/2023,1:22 pm,69,Bangkrapi,Katrina Hagenes,8,F,Primary,1 day miracle,Language,online,2 pm - 3 pm,490,None,200
24/06/2023,3:32 pm,70,Ekkamai,Leslie Deckow,20,M,Bachelor,2 week fornight,Math,onsite,9 am - 10 am,5990,Standard,1000
06/01/2023,4:20 pm,71,Ekkamai,Ellen Mueller,19,F,Bachelor,1 week marathon,Language,online,3 pm - 4 pm,2990,None,200
17/11/2023,5:34 pm,72,Ekkamai,Austin Nikolaus,15,M,Secondary,1 week marathon,Social Studies,onsite,5 pm - 6 pm,2990,Standard,200
09/12/2023,12:40 pm,73,Ekkamai,Jon Volkman,9,M,Primary,1 week marathon,Math,onsite,6 pm - 7 pm,2990,Standard,100
14/11/2023,5:17 pm,74,Ekkamai,Louis Harvey,8,M,Primary,1 day miracle,Math,onsite,9 am - 10 am,490,None,100
08/05/2023,10:46 am,75,Samyan,Rachael Corwin Sr.,12,F,Primary,2 week fornight,Science,onsite,11 am - 12 pm,5990,None,1000
26/07/2023,12:11 pm,76,Samyan,Clifton Fadel,15,M,Secondary,2 week fornight,Science,online,2 pm - 3 pm,5990,Standard,100
06/01/2023,6:23 pm,77,Ekkamai,Eva Rutherford,12,F,Primary,1 month pack,Science,onsite,10 am - 11 am,8990,Standard,100
08/08/2023,7:35 pm,78,Ladkrabang,Ted Streich,17,M,GED,2 week fornight,Language,online,1 pm - 2 pm,5990,None,100
25/04/2023,4:46 pm,79,Ekkamai,George Farrell,15,M,GED,2 week fornight,Language,online,6 pm - 7 pm,5990,Standard,100
16/12/2023,9:15 am,80,Ekkamai,Clifton Grimes,15,M,Vocational,1 day miracle,Language,onsite,6 pm - 7 pm,490,Premium,200
13/11/2023,12:42 pm,81,Ladkrabang,Leland Daniel,18,M,Vocational,2 week fornight,Science,online,7 pm - 8 pm,5990,None,100
08/11/2023,5:55 pm,82,Ladkrabang,Tony Nikolaus,13,M,Secondary,1 day miracle,Math,onsite,10 am - 11 am,490,Premium,100
30/10/2023,10:27 am,83,Bangkrapi,Amelia Corkery,9,F,Primary,1 week marathon,Math,onsite,2 pm - 3 pm,2990,Standard,100
30/06/2023,7:23 pm,84,Ekkamai,Andrew Stanton,15,M,GED,1 week marathon,Social Studies,onsite,7 pm - 8 pm,2990,Premium,100
31/10/2023,12:45 pm,85,Samyan,Jose Dibbert,15,M,GED,2 week fornight,Math,online,1 pm - 2 pm,5990,Premium,100
15/07/2023,5:18 pm,86,Ekkamai,Kurt Jacobi,8,M,Primary,1 month pack,Science,onsite,7 pm - 8 pm,8990,Standard,100
27/05/2023,5:35 pm,87,Samyan,Clayton Homenick,17,M,Vocational,1 month pack,Science,onsite,2 pm - 3 pm,8990,Premium,1000
21/08/2023,9:57 pm,88,Ekkamai,Felicia Dach,12,F,Primary,2 week fornight,Math,onsite,12 pm - 1 pm,5990,Standard,200
29/06/2023,9:06 am,89,Ekkamai,Janis Smith,11,F,Primary,2 week fornight,Language,online,6 pm - 7 pm,5990,Standard,100
03/01/2023,1:05 pm,90,Ekkamai,Myron Little,13,M,GED,1 day miracle,Science,onsite,7 pm - 8 pm,490,Premium,100
05/11/2023,11:13 am,91,Ladkrabang,Travis Wehner,9,M,Primary,2 week fornight,Language,onsite,8 pm - 9 pm,5990,Premium,100
11/06/2023,8:13 pm,92,Samyan,Jessie Blick-Jones,15,F,Vocational,1 month pack,Science,onsite,9 am - 10 am,8990,Premium,500
24/04/2023,10:07 am,93,Samyan,Roy Cole,20,M,Bachelor,1 month pack,Language,online,12 pm - 1 pm,8990,Premium,100
07/04/2023,7:48 pm,94,Samyan,Norman Batz,12,M,Primary,1 month pack,Science,online,1 pm - 2 pm,8990,Premium,100
24/10/2023,12:56 pm,95,Ekkamai,Teresa Maggio,14,F,Secondary,2 week fornight,Science,online,5 pm - 6 pm,5990,Premium,100
15/03/2023,10:39 am,96,Ekkamai,Miss Marsha Ruecker,13,F,Secondary,2 week fornight,Language,online,3 pm - 4 pm,5990,None,200
13/02/2023,3:53 pm,97,Ekkamai,Derrick Batz,16,M,Secondary,2 week fornight,Math,online,6 pm - 7 pm,5990,Standard,500
30/04/2023,9:34 am,98,Samyan,Clinton Hoeger,14,M,Vocational,1 month pack,Science,onsite,8 am - 9 am,8990,Premium,100
08/02/2023,1:59 pm,99,Bangkrapi,Grant Goyette,7,M,Primary,1 week marathon,Social Studies,online,10 am - 11 am,2990,Standard,100
12/03/2023,1:12 pm,100,Ekkamai,Rebecca Swaniawski,16,F,Secondary,1 week marathon,Social Studies,online,10 am - 11 am,2990,None,100
12/08/2023,7:50 pm,101,Bangkrapi,Patricia Spencer DVM,7,F,Primary,1 week marathon,Math,online,10 am - 11 am,2990,Premium,100
16/08/2023,10:19 am,102,Samyan,Miranda O'Kon,8,F,Primary,2 week fornight,Language,online,9 am - 10 am,5990,Standard,100
11/05/2023,6:23 pm,103,Samyan,Ronnie Kuhlman,8,M,Primary,2 week fornight,Language,online,6 pm - 7 pm,5990,None,100
21/07/2023,11:26 am,104,Ekkamai,Dave Brown-Murazik,9,M,Primary,1 day miracle,Math,onsite,3 pm - 4 pm,490,Premium,100
23/05/2023,4:50 pm,105,Samyan,Leonard Hackett I,12,M,Primary,1 day miracle,Math,online,8 pm - 9 pm,490,Standard,1000
25/06/2023,4:35 pm,106,Samyan,Edmond Rogahn,7,M,Primary,1 week marathon,Science,online,3 pm - 4 pm,2990,Standard,200
30/09/2023,8:05 am,107,Ladkrabang,Kendra Beahan,11,F,Primary,1 month pack,Math,onsite,9 pm - 10 pm,8990,Premium,100
09/10/2023,4:28 pm,108,Ekkamai,Jacob Romaguera,8,M,Primary,1 day miracle,Social Studies,onsite,9 am - 10 am,490,None,100
04/01/2023,7:53 pm,109,Samyan,Jessica Cartwright Sr.,7,F,Primary,2 week fornight,Social Studies,onsite,1 pm - 2 pm,5990,None,100
13/10/2023,5:54 pm,110,Ekkamai,Cathy Hirthe,12,F,Primary,2 week fornight,Math,onsite,8 pm - 9 pm,5990,None,100
11/03/2023,11:40 am,111,Ekkamai,Harry Davis,13,M,Secondary,1 week marathon,Social Studies,online,4 pm - 5 pm,2990,Standard,100
13/01/2023,1:09 pm,112,Samyan,Ross Koepp,15,M,Vocational,2 week fornight,Science,online,3 pm - 4 pm,5990,Standard,200
18/05/2023,8:03 pm,113,Samyan,Jaime Hoppe,15,F,Vocational,1 day miracle,Social Studies,online,12 pm - 1 pm,490,Standard,200
04/03/2023,12:20 pm,114,Ladkrabang,Jerome Hackett,13,M,Secondary,1 month pack,Math,online,6 pm - 7 pm,8990,None,100
27/12/2023,8:59 pm,115,Ekkamai,Elijah Hickle DDS,8,M,Primary,1 week marathon,Social Studies,online,4 pm - 5 pm,2990,Standard,200
30/04/2023,3:41 pm,116,Bangkrapi,Marcus Medhurst,17,M,Secondary,1 day miracle,Social Studies,onsite,8 am - 9 am,490,Standard,100
10/11/2023,12:29 pm,117,Samyan,Megan Parisian,17,F,Secondary,1 month pack,Science,online,5 pm - 6 pm,8990,Standard,200
30/04/2023,1:07 pm,118,Ekkamai,Otis Schaefer,20,M,Bachelor,1 month pack,Math,onsite,3 pm - 4 pm,8990,Premium,100
15/11/2023,11:13 am,119,Ekkamai,Faith Leffler,10,F,Primary,1 month pack,Social Studies,online,8 pm - 9 pm,8990,None,100
13/10/2023,4:11 pm,120,Ekkamai,Terrell Botsford,14,M,Secondary,1 day miracle,Social Studies,onsite,12 pm - 1 pm,490,Premium,100
04/01/2023,7:01 pm,121,Ekkamai,Allen Lubowitz,14,M,GED,1 week marathon,Math,onsite,4 pm - 5 pm,2990,Standard,200
18/04/2023,12:34 pm,122,Ladkrabang,Gabriel Kreiger,17,M,GED,1 month pack,Social Studies,online,8 am - 9 am,8990,Standard,1000
24/01/2023,8:54 pm,123,Ekkamai,Josephine Jacobs,7,F,Primary,1 month pack,Science,onsite,3 pm - 4 pm,8990,Standard,200
17/02/2023,12:20 pm,124,Ekkamai,Stephanie Watsica,13,F,Secondary,2 week fornight,Science,online,3 pm - 4 pm,5990,Standard,100
02/02/2023,10:48 am,125,Ekkamai,Flora Hettinger,17,F,Secondary,2 week fornight,Language,online,1 pm - 2 pm,5990,Premium,100
28/06/2023,4:17 pm,126,Samyan,Blake Bednar V,13,M,Secondary,2 week fornight,Social Studies,onsite,3 pm - 4 pm,5990,Premium,200
01/06/2023,11:36 am,127,Ekkamai,Leonard Legros,11,M,Primary,2 week fornight,Math,onsite,10 am - 11 am,5990,Standard,100
23/01/2023,8:19 am,128,Ekkamai,Tomas Crist,8,M,Primary,1 month pack,Social Studies,onsite,2 pm - 3 pm,8990,Premium,100
08/09/2023,8:27 pm,129,Ekkamai,Ervin Rippin,10,M,Primary,1 week marathon,Math,onsite,5 pm - 6 pm,2990,Premium,200
06/01/2023,8:36 pm,130,Ladkrabang,Virginia Blanda,11,F,Primary,1 week marathon,Science,onsite,11 am - 12 pm,2990,Standard,100
02/09/2023,12:13 pm,131,Ekkamai,Miss Kathy Greenholt,11,F,Primary,1 week marathon,Social Studies,online,12 pm - 1 pm,2990,Premium,100
07/06/2023,6:09 pm,132,Ekkamai,Randal Little II,8,M,Primary,1 week marathon,Social Studies,onsite,8 pm - 9 pm,2990,Standard,1000
04/04/2023,8:31 am,133,Ekkamai,Virginia Weissnat,12,F,Primary,1 day miracle,Math,onsite,1 pm - 2 pm,490,Premium,200
22/01/2023,2:13 pm,134,Ekkamai,Shawna Heaney IV,7,F,Primary,1 day miracle,Social Studies,onsite,8 am - 9 am,490,None,200
17/10/2023,8:15 pm,135,Samyan,Kenneth Hartmann,20,M,Bachelor,2 week fornight,Language,online,4 pm - 5 pm,5990,Premium,100
17/10/2023,11:08 am,136,Bangkrapi,Phyllis Douglas,14,F,GED,2 week fornight,Language,onsite,8 pm - 9 pm,5990,Standard,100
15/09/2023,3:31 pm,137,Bangkrapi,Oliver Quitzon,14,M,Vocational,1 month pack,Language,onsite,1 pm - 2 pm,8990,Standard,100
27/12/2023,7:02 pm,138,Ekkamai,Keith O'Hara,10,M,Primary,1 day miracle,Science,onsite,12 pm - 1 pm,490,Premium,200
11/08/2023,4:49 pm,139,Ekkamai,Derrick Kovacek DVM,17,M,GED,1 week marathon,Science,onsite,8 am - 9 am,2990,None,100
29/10/2023,8:25 am,140,Samyan,Ernest Wintheiser-Hoeger,17,M,Vocational,1 month pack,Language,online,8 am - 9 am,8990,Premium,100
29/11/2023,4:54 pm,141,Ekkamai,Dorothy Parker,7,F,Primary,2 week fornight,Science,online,12 pm - 1 pm,5990,Premium,100
11/07/2023,1:08 pm,142,Samyan,Jeff Kreiger,15,M,Secondary,1 month pack,Math,onsite,1 pm - 2 pm,8990,None,200
20/06/2023,3:53 pm,143,Samyan,Mona Turner,20,F,Bachelor,1 month pack,Science,online,8 am - 9 am,8990,Premium,500
26/07/2023,5:46 pm,144,Ekkamai,Melanie Ebert,16,F,GED,1 month pack,Math,online,2 pm - 3 pm,8990,Premium,100
03/10/2023,5:09 pm,145,Samyan,Cedric Hyatt,9,M,Primary,1 week marathon,Math,onsite,12 pm - 1 pm,2990,Premium,100
29/12/2023,10:13 am,146,Samyan,Celia Quitzon,18,F,Secondary,1 day miracle,Social Studies,onsite,1 pm - 2 pm,490,None,500
27/01/2023,5:55 pm,147,Ekkamai,Myra Gleichner,20,F,Bachelor,1 day miracle,Language,online,2 pm - 3 pm,490,None,100
03/09/2023,2:46 pm,148,Ekkamai,Jerry Mills,14,M,Vocational,1 day miracle,Math,onsite,9 am - 10 am,490,Premium,500
12/08/2023,9:57 am,149,Ekkamai,Gabriel Harris,17,M,GED,1 day miracle,Social Studies,online,6 pm - 7 pm,490,Standard,100
24/06/2023,8:10 pm,150,Samyan,Levi Brakus-Olson,7,M,Primary,1 week marathon,Math,online,4 pm - 5 pm,2990,Standard,100
16/07/2023,12:18 pm,151,Samyan,Elias Ziemann Sr.,7,M,Primary,1 day miracle,Language,online,12 pm - 1 pm,490,Premium,1000
27/10/2023,9:59 am,152,Ekkamai,Sonia O'Connell,7,F,Primary,1 month pack,Science,online,4 pm - 5 pm,8990,None,100
25/05/2023,6:24 pm,153,Ladkrabang,Miriam Prosacco,19,F,Bachelor,1 day miracle,Language,online,12 pm - 1 pm,490,None,500
23/10/2023,8:54 pm,154,Ekkamai,Jodi O'Connell,8,F,Primary,2 week fornight,Science,onsite,3 pm - 4 pm,5990,None,200
10/09/2023,3:05 pm,155,Ekkamai,Shawna Kling,12,F,Primary,1 month pack,Science,onsite,9 am - 10 am,8990,Premium,500
04/12/2023,5:55 pm,156,Samyan,Rickey Yost,14,M,Vocational,1 day miracle,Math,onsite,10 am - 11 am,490,Standard,200
18/08/2023,1:19 pm,157,Samyan,Jesse O'Kon,16,M,GED,1 week marathon,Math,online,9 am - 10 am,2990,Premium,100
27/05/2023,9:52 pm,158,Ekkamai,Jan Lowe,12,M,Primary,1 month pack,Math,onsite,4 pm - 5 pm,8990,Premium,200
10/11/2023,11:09 am,159,Ekkamai,Sheldon Padberg,15,M,Vocational,2 week fornight,Math,onsite,2 pm - 3 pm,5990,None,200
01/06/2023,11:54 am,160,Samyan,Oscar Okuneva,11,M,Primary,1 day miracle,Math,online,9 pm - 10 pm,490,None,100
25/08/2023,8:52 am,161,Samyan,Benjamin Gislason,19,M,Bachelor,2 week fornight,Social Studies,onsite,8 am - 9 am,5990,Standard,100
04/10/2023,2:54 pm,162,Ekkamai,Evelyn Purdy,8,F,Primary,1 day miracle,Language,online,12 pm - 1 pm,490,Premium,1000
24/03/2023,11:29 am,163,Ekkamai,Rufus Gibson PhD,18,M,Vocational,1 week marathon,Science,online,6 pm - 7 pm,2990,Standard,100
05/02/2023,4:02 pm,164,Ekkamai,Gloria Feest,10,F,Primary,1 day miracle,Social Studies,online,5 pm - 6 pm,490,Premium,100
03/07/2023,5:35 pm,165,Ekkamai,Betty Armstrong,12,F,Primary,1 month pack,Math,online,2 pm - 3 pm,8990,None,100
21/08/2023,5:21 pm,166,Ekkamai,Marcos Kihn,14,M,GED,1 day miracle,Social Studies,online,7 pm - 8 pm,490,None,100
21/06/2023,3:07 pm,167,Ladkrabang,Gustavo Grant,7,M,Primary,1 week marathon,Social Studies,online,10 am - 11 am,2990,None,100
08/11/2023,4:35 pm,168,Samyan,Mitchell Hand,17,M,Vocational,1 month pack,Language,onsite,1 pm - 2 pm,8990,Premium,100
12/08/2023,7:09 pm,169,Ladkrabang,Tasha Sauer,7,F,Primary,2 week fornight,Science,online,9 am - 10 am,5990,None,100
22/01/2023,1:57 pm,170,Ladkrabang,Ora Gislason,19,F,Bachelor,1 week marathon,Math,onsite,10 am - 11 am,2990,Premium,100
29/12/2023,8:56 pm,171,Ekkamai,Willie Bechtelar,16,F,Vocational,1 month pack,Language,online,9 am - 10 am,8990,None,100
11/10/2023,3:45 pm,172,Ekkamai,Ben Boyer,15,M,Vocational,1 day miracle,Language,online,9 pm - 10 pm,490,Standard,100
18/11/2023,11:29 am,173,Samyan,Olive Hudson,14,F,Secondary,1 day miracle,Science,online,3 pm - 4 pm,490,Standard,100
01/09/2023,2:49 pm,174,Samyan,Leslie Greenfelder,10,M,Primary,2 week fornight,Language,online,12 pm - 1 pm,5990,Standard,100
15/12/2023,1:40 pm,175,Ekkamai,Jerry Rowe,13,M,GED,1 day miracle,Science,online,6 pm - 7 pm,490,Premium,100
11/02/2023,8:17 am,176,Samyan,Stephen Kerluke,13,M,Vocational,1 day miracle,Science,online,11 am - 12 pm,490,Standard,100
03/09/2023,11:55 am,177,Ekkamai,Fred Lebsack,9,M,Primary,1 month pack,Language,online,8 pm - 9 pm,8990,Standard,100
13/12/2023,5:29 pm,178,Ekkamai,Toby Howell,11,M,Primary,1 week marathon,Science,onsite,8 am - 9 am,2990,Premium,100
26/04/2023,8:18 am,179,Ekkamai,Eduardo Conroy-Nicolas,7,M,Primary,1 week marathon,Science,onsite,9 am - 10 am,2990,Standard,100
26/07/2023,8:24 pm,180,Samyan,Maurice Hagenes,15,M,Vocational,1 week marathon,Language,onsite,6 pm - 7 pm,2990,Standard,500
23/04/2023,8:35 pm,181,Samyan,Cary Carroll,17,M,Secondary,1 week marathon,Social Studies,online,12 pm - 1 pm,2990,None,100
01/06/2023,7:49 pm,182,Samyan,Alfredo Williamson,19,M,Bachelor,1 day miracle,Social Studies,onsite,12 pm - 1 pm,490,None,100
07/08/2023,12:31 pm,183,Samyan,Roland Green Jr.,17,M,Secondary,2 week fornight,Science,online,10 am - 11 am,5990,None,100
04/07/2023,8:42 pm,184,Ladkrabang,Malcolm Tremblay,13,M,Secondary,1 week marathon,Math,onsite,12 pm - 1 pm,2990,Premium,200
18/01/2023,9:07 pm,185,Ekkamai,Luther Daugherty,17,M,GED,1 month pack,Science,onsite,7 pm - 8 pm,8990,None,100
10/01/2023,11:13 am,186,Samyan,Samantha Cremin,20,F,Bachelor,1 day miracle,Science,onsite,10 am - 11 am,490,None,500
04/06/2023,8:29 pm,187,Samyan,Miss Debbie Shields,20,F,Bachelor,1 month pack,Science,onsite,6 pm - 7 pm,8990,None,500
02/04/2023,3:37 pm,188,Ekkamai,Johnny Ferry,20,M,Bachelor,1 day miracle,Math,onsite,4 pm - 5 pm,490,Premium,100
29/08/2023,12:39 pm,189,Bangkrapi,Alexander Runte-Gutmann,8,M,Primary,2 week fornight,Science,online,7 pm - 8 pm,5990,None,100
01/10/2023,11:01 am,190,Samyan,Kenneth Spinka,7,M,Primary,2 week fornight,Science,onsite,7 pm - 8 pm,5990,Premium,100
21/08/2023,11:35 am,191,Samyan,Clarence Marks,13,M,Vocational,2 week fornight,Social Studies,onsite,7 pm - 8 pm,5990,None,200
22/01/2023,11:48 am,192,Samyan,Sherri Thompson,10,F,Primary,1 month pack,Science,online,3 pm - 4 pm,8990,None,200
